#This dataset contains all Airdisasters from the past 20 years;;;;;;;;;;;;;;;;;
date;type;registration;operator;location;first_flight;crew;passengers;aircraft_damage;phase;nature;departure_airport;destination_airport;narrative;time;airplane_type;airline;accident_date
23-jun-04;Dornier 228-201;TF-ELH;Islandsflug;Siglufjördur...;1985-09-04  (18 years 10 months);Fatalities: 0 / Occupants:;Fatalities: 0 / Occupants:;Damaged beyond repair;Landing (LDG);Unknown;?;Siglufjördur Airport (SIJ/BISI), Iceland;The airplane was substantially damaged after it veered off the runway. It was transported to Reykjavik by boat. In November 2004 it was re-registered TF-ADD for Landsflug, but was ultimately assessed as damaged beyond repair.;19:40;Dornier 228-201;Islandsflug;Wednesday 23 June 2004
5-jun-98;Boeing 727-25F;5Y-BMW;Aero Zambia;Asmara Inter...;1963-10-09  (34 years 8 months);Fatalities: 0 / Occupants: 0;Fatalities: 0 / Occupants: 0;Damaged beyond repair;Standing (STD);Cargo;-;-;"Boeing 727 5Y-BMW was in Asmara delivering ""relief supplies"" to the Eritrean government when its left hand wing was damaged by a fuel truck in late May 1998. While awaiting repair and some spares to be brought in, the airplane was strafed by a MiG fighter during the June 5th raid and damaged by small calibre gun fire. Wiring damage behind the cockpit was of such nature that the whole area needed to be re-wired. It was decided not to repair the plane. The Boeing was purchased by International Air Parts and was stripped of the engines and other parts. The Eritreans proceeded to cut off the wings and tow it for three kilometers down the main airport road to the Expo site.";null;Boeing 727-25F;Aero Zambia;Friday 5 June 1998
25-jan-08;Antonov An-12BP;EK11660;Aéro-Service;Pointe Noire...;1965;Fatalities: 0 / Occupants:;Fatalities: 0 / Occupants:;Substantial;Taxi (TXI);Cargo;?;Pointe Noire Airport (PNR/FCPP), Congo;The An-12's brakes failed as it taxied to the apron at Pointe Noire Airport (PNR). It could not be stopped and ran into a parked Boeing 727 (9L-LEF). Both aircraft sustained considerable damage.;null;Antonov 12BP;Aéro-Service;Friday 25 January 2008
15-apr-02;Boeing 767-2J6ER;B-2552;Air China;near Pusan-Kimhae...;1985-10-09  (16 years 6 months);Fatalities: 8 / Occupants: 11;Fatalities: 121 / Occupants: 155;Destroyed;Approach (APR);International Scheduled Passenger;Beijing-Capital Airport (PEK/ZBAA), China;Busan-Gimhae (Pusan) International Airport (PUS/RKPK), South Korea;"Air China flight 129 departed Beijing at 08:37 on a scheduled flight to Pusan-Gimhae in South Korea. The en route part of the flight was uneventful. At 11:06 the second officer contacted Gimhae Approach. At that moment the airplane was 32 nm from the airport at an altitude of FL170. The approach controller cleared the flight to descend to 6000 feet. Runway 36L was in use and the crew could expect a straight-in approach. at 11:09 the controller notified the crew that the runway was changed to 18R, with winds 210 degrees at 17 kts. This meant a circling approach which none of the crew members had flown yet at Pusan. The captain and first officer then discussed the approach to be flown. The captain cautioned: ""We won't enlarge the traffic pattern, the mountains are
all over that side."" At 11:13 the flight was further cleared down to 2600 feet. Two minutes later the approach controller radioed: ""Air China 129, turn left heading 030 cleared for ILS DME runway 36L, then circle to runway 18 right, report field in sight."" At 11:17 they captured the ILS and were cleared further down to the circling altitude of 700 feet. The landing gear was extended and flaps set at 20 degrees. Then the controller instructed the flight to contact Gimhae Tower and to circle west. The second officer responded but did not read back the frequency change. The captain then instructed the first officer to disconnect the autopilot and turn left. From his position in the right hand seat the first officer was able to observe the runway. As the aircraft passed abeam the
runway the autopilot was reengaged with heading select. At that moment the approach controller again contacted flight 129 instructing them to contact
the tower. The crew were busy looking outside to see when they passed abeam the end of the runway. Simultaneously the Gimhae Tower controller contacted
the flight using the emergency frequency. As they passed abeam the threshold at 11:20:02 they started timing to measure the commencement f turning to
base. Eleven seconds after the call on the emergency frequency, the second officer reported to the Tower controller that they were on the circle approach. At 11:20:17 the captain took over control from the first officer and said he was going to turn base. He slowly began a widening turn, causing the first officer to urge him: ""turn quickly, not too late."" Meanwhile the flight was cleared to land . At 11:20:32 the captain disconnected the autopilot and banked the plane to the right. Twenty-two seconds later the first officer cautioned: ""Pay attention to the altitude keeping,"" and the captain asked him to help him get a visual on the runway. Due to the limited visibility they were not able to see the runway. The first officer then advised the captain to initiate a go around, but the captain did
not respond. At 11:21:15 the first officer said, ""Pull up! Pull up!"" Pitch attitude was increased to 11.4 degrees but thrust was not increased. Two seconds later the aircraft impacted a mountain, about 4.6 km from the runway.";11:21;Boeing 767-2J6ER;Air China;Monday 15 April 2002
29-MAR-2018;Beech 99;N31TN;Lake Clark Air;Pilot Point ...;1969;Fatalities: 0 / Occupants: 1;Fatalities: 0 / Occupants: 7;Substantial;Landing (LDG);Passenger;Dillingham Municipal Airport, AK (DLG/PADL), United States of America;Pilot Point Airport, AK (PIP/PAPN), United States of America;"The Beechcraft 99 impacted terrain during an instrument approach to Pilot Point Airport, Alaska, USA. After the airplane impacted terrain the pilot made a go-around and initiated landing at the King Salmon Airport, Alaska.
The landing gear then collapsed after touchdown.";ca 11:35;Beechcraft 99;Lake Clark Air;Thursday 29 March 2018
3-feb-05;Boeing 737-242 Adv.;EX-037;Phoenix Aviation, op.for Kam Air;near Kabul;1980-01-04  (25 years 1 months);Fatalities: 8 / Occupants: 8;Fatalities: 97 / Occupants: 97;Destroyed;En route (ENR);Domestic Scheduled Passenger;Herat Airport (HEA/OAHR), Afghanistan;Kabul-Khwaja Rawash Airport (KBL/OAKB), Afghanistan;"Kam Air Flight 904 from Herat to Kabul, Afghanistan, was destroyed when it impacted a mountain side during descent. All 105 on board were killed.
The Boeing 737-242 aircraft, with Kyrgyz Republic registration EX-037, departed from Herat at 10:02 UTC. The estimated time of arrival (ETA) at Kabul International Airport was 10:55 UTC.
The aircraft was cruising at flight level 270 when it contacted Bagram Radar Approach Control (""Bagram"") for descent and landing. The flight was normal until it failed to level at flight level 130 during the VOR/DME approach.
At 10:43 UTC, Bagram cleared the flight to descend at its discretion and to expect the VOR approach to runway 29. The prevailing weather was also passed on to the aircraft. Visibility was reported 2 kilometers with snow, ceiling 2200 feet broken. wind calm and altimeter setting QNH 1016.
When the aircraft was 35 miles west of the Kabul VOR, radar contact was established with Bagram. The aircraft was advised by Bagram to cross the VOR at or above flight level 130 and cleared it for the VOR/DME approach to runway 29 at Kabul Airport. At 10:48 UTC the aircraft reported flight level 130.
Bagram again cleared the aircraft for the VOR approach to runway 29 and advised the aircraft to report procedure turn inbound. The crew replied that they would report proceeding inbound for the VOR approach to runway 29. This was the last transmission from the aircraft.

Search for the aircraft was delayed and hampered due to a severe snowstorm in the region. The aircraft was located approximately three days later by an International Security Assistance Force (ISAF) helicopter
The Flight Data Recorder (FDR) was recovered, but the Cockpit Voice Recorder (CVR) could not be found. No data was found recorded on the FDR.";ca 15:15;Boeing 737-242 Adv.;null;Thursday 3 February 2005
20-feb-03;Fokker F-27 Friendship 200;10254;Pakistan AF;near Kohat;1964;Fatalities: 8 / Occupants: 8;Fatalities: 9 / Occupants: 9;Damaged beyond repair;En route (ENR);Military;Islamabad International Airport (ISB/OPRN), Pakistan;Kohat Airport (OHT/OPKT), Pakistan;The aircraft departed Islamabad at 08:00 for a flight to Kohat Air Base. Pakistani air force chief Mushaf Ali Mir was to conduct an annual inspection of the air base. The aircraft crashed into the side of a 3,000-foot mountain, covered in fog.;08:30;Fokker F-27 Friendship 200;Pakistan Air Force;Thursday 20 February 2003
3-jun-16;Cessna 208B Grand Caravan;5Y-JLL;Lady Lori (Kenya) Ltd;Akobo Airport;2009;Fatalities: 0 / Occupants: 1;Fatalities: 0 / Occupants: 4;Substantial;Takeoff (TOF);Domestic Non Scheduled Passenger;Akobo Airport (HSAK), South Sudan;Juba Airport (JUB/HSSJ), South Sudan;"During takeoff from Akobo Airstrip at approximately 10 a.m. Local Time, the pilot executed a premature takeoff due to animal incursion on the runway. The airplane's right main landing gear clipped the airstrip perimeter fence and the aircraft crash-landed onto grass-thatched houses and trees near the end of the runway.
Damage was substantial with no reported injuries. The runway was reported to have been wet at the time of occurrence.";10:00;Cessna 208B Grand Caravan;Lady Lori (Kenya) Ltd;Friday 3 June 2016
13-apr-06;Cessna 208 Caravan I;5H-ZBZ;MAF;Haydom;1991;Fatalities: 0 / Occupants: 1;Fatalities: 0 / Occupants: 8;Substantial;Landing (LDG);Domestic Non Scheduled Passenger;Dodoma Airport (DOD/HTDO), Tanzania;Haydom, Tanzania;Cessna Caravan 5H-ZBZ departed Dodoma (DOD), flying doctors and nurses to the Haydom Lutheran Hospital. The airplane reportedly landed at Haydom in severe weather, coming to rest in a sisal plantation field. The airplane suffered substantial damage to both wings, propeller, front cowling, baggage pod and fuselage.;11:30 UTC;Cessna 208 Caravan I;Mission Aviation Fellowship - MAF;Thursday 13 April 2006
20-feb-13;Hawker Beech 390 Premier IA;N777VG;The Vein Guys;Thomson-McDu...;2007;Fatalities: 0 / Occupants: 2;Fatalities: 5 / Occupants: 5;Destroyed;Initial climb (ICL);Executive;Nashville-John C. Tune Airport, TN (KJWN), United States of America;Thomson-McDuffie County Airport, GA (KHQU), United States of America;"A Premier 1A corporate jet, registered N777VG, was destroyed in a landing accident at Thomson-McDuffie County Airport, GA, USA. The captain and the co-pilot survived. The remaining five occupants were killed.
The airplane departed Nashville-John C. Tune Airport, TN about 18:27 CST on a flight to Thomson-McDuffie County Airport, GA. 

According to the cockpit voice recorder (CVR), after the landing gear was lowered, about 20:04, the copilot noted that the ""ANTI SKID FAIL"" annunciator light illuminated. The pilot continued the approach, and, about 20:05, the airplane touched down on runway 10. The takeoff warning horn sounded about 0.3 seconds before the pilot stated that he was performing a go-around. The airplane lifted off near the departure end of the runway. The copilot directed the pilot to increase pitch. According to EGPWS data, as the airplane climbed to an altitude of about 63 ft (19 m) above the ground, about 9 seconds after liftoff, the left wing struck a utility pole located about 0.25 miles (400 m) east of the departure end of the runway. The airplane continued about 925 ft (282 m) before colliding with trees and terrain. It was destroyed by impact forces and a postcrash fire.

Runway 10 is a 5503 ft (1677 m) long asphalt runway.";20:06;Hawker Beechcraft 390 Premier IA;The Vein Guys;Wednesday 20 February 2013
12-apr-99;Fokker 50;PH-MXT;Avianca;Simiti;1994;Fatalities: 0 / Occupants: 5;Fatalities: 0 / Occupants: 41;Minor;En route (ENR);Domestic Scheduled Passenger;Bucaramanga-Palo Negro Airport (BGA/SKBG), Colombia;Bogotá-Eldorado Airport (BOG/SKBO), Colombia;At least five armed members of the National Liberation Army (ELN) hijacked the Fokker 50 during a domestic flight in Colombia. One hijacker entered the cockpit and issued specific flight instructions to the pilots. The plane was taken to a clandestine dirt airstrip near Simiti. An estimated 50 to 100 armed guerrillas herded the passengers into nearby boats on the Magdalena River. The guerrillas then took their hostages into the remote jungle area. Ransom payments were demanded for the hostages. As of December 31, 1999, fifteen people, including all of the flight crew, remained in captivity.;null;Fokker 50;Avianca;Monday 12 April 1999
13-jun-10;Swearingen SA226-TC Metro II;ZS-ZOC;West Cape Ferries;Lanseria Air...;1979;Fatalities: 0 / Occupants: 2;Fatalities: 0 / Occupants: 13;Substantial;Landing (LDG);Domestic Non Scheduled Passenger;Lanseria Airport (HLA/FALA), South Africa;Polokwane International Airport (FAPP), South Africa;"A Swearingen SA226-TC Metro II turboprop sustained substantial damage in a gear-up landing accident at Lanseria Airport (HLA), South Africa. The 13 passengers and two pilots were not injured.
The Metro II, registered ZS-ZOC, was chartered to fly journalists to a FIFA World Cup football match in Polokwane. It took off at 08:04 from Lanseria to Polokwane. 
The flight crew reported that the flight was uneventful until during descent and approach to runway 05 at Polokwane. The flight crew selected the undercarriage control lever to down position. The flight crew observed the 'undercarriage unsafe' red warning light going on inside the cockpit. The 'undercarriage unsafe' red warning light indicated that the left side main landing gear was not extending. 
The approach was abandoned and the crew made a fly-by past the control tower. The ATC informed the flight crew that the left main landing gear doors were partially open, but the gear had not extended. 
The aircraft entered into a holding pattern for approximately 15 minutes, during which period the flight crew attempted to extend the landing gear. The undercarriage was recycled several times with the same indication that the left main landing gear had failed to extend. The flight crew then executed the emergency extension procedures several times, with no success. The flight crew also continued with other recommended best practice emergency procedures which included various manoeuvres to induce additional ""G"" forces on the aircraft to try and release the left main landing gear, but this was also unsuccessful. 
The flight crew elected to return to Lanseria because they thought that the facilities to handle emergencies of this nature were better. The flight crew continued to execute the emergency gear deployment procedures while en route to Lanseria, without success. When the aircraft was inbound approaching Lanseria, the flight crew establish contact with ATC and they were given instructions to hold over the beacon (HBV) near Hartebeespoortdam. After a while they were routed to hold over the beacon (LIV) near Lanseria, where the flight crew burned off fuel. All normal and emergency procedures used by the flight crew to extend the left main landing gear were unsuccessful. 
After being airborne for a period of 2.9 hours, the flight crew were given clearance by ATC to land on runway 06. The intention of the flight crew was to do a low level fly-past in front of the tower for confirmation that the left main landing gear was still not extended. The flight crew then recycled the gear up in preparation for the planned wheels up emergency landing. The flight crew made a teardrop manoeuvre to turn back in the opposite direction to approach runway 24R. During short finals overhead the threshold, prior to touchdown, the flight crew shut down both engines, feathered the propellers and switched off all the electrical power. The radios were off, thus no further communication between the flight crew and Lanseria ATC was possible. The aircraft came to a gradual stop on its lower fuselage on the centreline of the runway";ca 11:00;Swearingen SA226-TC Metro II;West Cape Ferries;Sunday 13 June 2010
28-aug-17;Antonov An-26B;EK-26006;Coco Aviation;Maban Airstrip;1982;Fatalities: 0 / Occupants:;Fatalities: 0 / Occupants:;Destroyed;Landing (LDG);Cargo;?;Maban Airstrip (HSMB), South Sudan;"An Antonov 26B cargo plane was damaged in a runway excursion and post impact fire after landing at Maban Airstrip, South Sudan.
The aircraft was carrying supplies on behalf of UNHCR. It failed to stop on runway 33, which was reportedly wet as a result of rainfall, and overran. A post impact fire occurred.";11:30;Antonov An-26B;Coco Aviation;Monday 28 August 2017
22-feb-14;Boeing 737-86N (WL);OK-TVT;Travel Service Airlines;Terceira-Laj...;2012-01-11  (2 years 1 months);Fatalities: 0 / Occupants: 6;Fatalities: 0 / Occupants: 164;Substantial;Landing (LDG);Int'l Non Scheduled Passenger;Praha-Ruzyne International Airport (PRG/LKPR), Czech Republic;Terceira-Lajes Airport, Azores (TER/LPLA), Portugal;"Travel Service Flight TVS4130, a Boeing 737-800, operated on a commercial passenger flight from Prague (Czech Republic), to Montego Bay (Jamaica) with an en route refueling stop at Terceira, Azores. The captain was Pilot Flying. 
The en route part of the first leg was uneventful. Runway in use at Terceira-Lajes Airport was runway 15. There was a partially cloudy sky, good visibility, a strong surface wind from southwest (190° at 22 kts gusting to 32 kts), with direction variations between 160° and 230° and the air temperature was 15°C. 
The commander reported that the visual approach to runway 15 seemed normal until 5 NM from touchdown. Winds were registered at a speed of up to 50 kts and there was severe turbulence along the entire approach. 
Below 1000 feet the crew noticed effects of down-drafts and up-drafts, with huge variations in intensity until short final. The captain stated that he opted to maintain an angle of descent (G/S) above the recommended, due to severe turbulence and to ensure a safety margin. The entire approach was flown with Auto Thrust connected, for effective and accurate speed control. 
The aircraft developed a high sink rate and lost speed instantly. This was counteracted by the captain with increasing power and attitude, in an attempt to stabilize the sink-rate.
Touchdown occurred with a high rate of descent and a short flare, resulting in an impact on the main landing gear of 3.52 G vertical acceleration, followed by a bounce.
A forward push of the control column by the pilot flying resulted in a pitch-down attitude of -1.9° with a second impact of 2.75 G vertical acceleration over the nose wheel causing substantial damage in that area of the aircraft fuselage.

An inspection revealed the existence of some folded braces in the interior structure of the nose wheel bay with some bent struts, cracks found in fuselage frames that had suffered structural damage from the vertical loads applied in the contact with the runway.";06:41;Boeing 737-86N (WL);Travel Service Airlines;Saturday 22 February 2014
9-feb-17;Beech 1900D;C-FNWH;North-Wright Airways;Tulita Airpo...;1994;Fatalities: 0 / Occupants: 2;Fatalities: 0 / Occupants: 4;Minor;Taxi (TXI);Domestic Scheduled Passenger;Norman Wells Airport, NT (YVQ/CYVQ), Canada;Tulita Airport, NT (ZFN/CZFN), Canada;"A Beech 1900D aircraft operated by North-Wright Airways, was conducting flight NWL125 from Norman Wells, Canada to Tulita, Canada. The flight crew was trying to initiate a right hand turn on the ramp after landing to park the aircraft and during the manoeuvre, they felt the aircraft started to slip on the slippery surface. The captain tried to do a recovery manoeuvre by applying differential power, reverse, and braking, however these manoeuvres were unsuccessful. The left wing came into contact with the airport building, sheering off the left winglet and wing tip down to the wing rib located below the wing fence. The aircraft continued past the building before coming to rest with the winglet and debris resting behind it. The 4 passengers and 2 crew members disembarked without any injury.

Company maintenance inspected the aircraft and concluded that there was no structural damage. During this inspection, the engine rigging was checked to ensure that power management was not a factor in this event. No major discrepancies were found and ground runs were normal. The left wing tip and light assembly were replaced and the aircraft returned to service. There have been no further issues with the operation of this aircraft.";16:11 UTC;Beechcraft 1900D;North-Wright Airways;Thursday 9 February 2017
11-jun-02;Fokker F-27 Friendship 600;ST-SSD;Sudan Airways;Khartoum-Civ...;1977;Fatalities: 0 / Occupants: 2;Fatalities: 0 / Occupants: 0;Substantial;Takeoff (TOF);Training;Khartoum-Civil Airport (KRT/HSSS), Sudan;Khartoum-Civil Airport (KRT/HSSS), Sudan;The Friendship was being used for a touch-and-go training flight. On the second leg immediately after touch down the pilot tried to take off but reported having difficulties in raising the flaps from the 40 deg. to the 16,5 deg (take off) position. The captain decided to reject the take off. The tyres burst while braking and the aircraft drifted to the right, went off the runway and came to rest at the glide slope antenna for runway 18. Both nose and right hand maingear collapsed during the overrun. The no. 2 engine and propeller as well as the fuselage suffered substantial damage.;18:30;Fokker F-27 Friendship 600;Sudan Airways;Tuesday 11 June 2002
12-feb-09;DHC-8-402 Q400;N200WQ;Colgan Air;near Buffalo Niag...;2008;Fatalities: 5 / Occupants: 5;Fatalities: 44 / Occupants: 44;Destroyed;Approach (APR);Domestic Scheduled Passenger;Newark-Liberty International Airport, NJ (EWR/KEWR), United States of America;Buffalo Niagara International Airport, NY (BUF/KBUF), United States of America;"A Colgan Air DHC-8-400, N200WQ, operating as Continental Connection flight 3407, crashed during an instrument approach to runway 23 at the Buffalo-Niagara International Airport (BUF), Buffalo, New York. The crash site was approximately 5 nautical miles northeast of the airport in Clarence Center, New York, and mostly confined to one residential house (6038 Long St, Clarence) . The four flight crew and 45 passengers were fatally injured and the aircraft was destroyed by impact forces and post crash fire. There was one ground fatality. Night visual meteorological conditions prevailed at the time of the accident. 
Flight CJC3407 departed Newark-Liberty International Airport, NJ (EWR) at 21:20 on a domestic flight to Buffalo Airport, NY (BUF). At 22:15:14 the Buffalo Approach controller cleared the flight for an ILS approach to runway 23: ""Colgan thirty four zero seven three miles from klump turn left heading two six zero maintain two thousand three hundred till established localizer clear i l s approach runway two three."" The flight acknowledged that clearance.
At 22:16:02, the engine power levers were reduced to flight idle. At that time Buffalo Approach instructed the crew to contact Buffalo Tower. The crew extended the landing gear and the auto flight system captured the ILS 23 localizer. The captain then moved the engine conditions levers forward to the maximum RPM position as the copilot acknowledged the instructions to Buffalo Tower. 
At 22:16:28 the crew moved the flaps to 10°, and two seconds later the stall warning stick shaker activated. The autopilot disconnected at about the same time that the stick shaker activated. The crew added power to approximately 75% torque. The airplane began a sharp pitch up motion, accompanied by a left roll, followed by a right roll, during which the stick pusher activated. During this time, the indicated airspeed continued to decrease to less than 100 kts. Eight seconds after the flaps had been selected to 10°, and at an airspeed of less than 110 kts, the crew retracted the flaps. Sixteen seconds later the flaps were fully retracted.
Following further pitch and roll excursions the airplane pitched down and entered a steep descent from which it did not recover. The airplane impacted a residential house and was destroyed.";22:17;de Havilland Canada DHC-8-402 Q400;Colgan Air;Thursday 12 February 2009
14-jun-01;DHC-8-103;LN-WIS;Widerøes Flyveselskap;Båtsfjord Ai...;1990;Fatalities: 0 / Occupants: 3;Fatalities: 0 / Occupants: 24;Damaged beyond repair;Landing (LDG);Domestic Scheduled Passenger;Alta Airport (ALF/ENAT), Norway;Båtsfjord Airport (BJF/ENBS), Norway;Widerøe flight WF954 departed Alta at 15:22 for a flight to Båtsfjord. The Localizer/DME approach to runway 21 at Båtsfjord was flown by the co-pilot. After passing the missed approach point the captain took over control because they lost sight of the runway. The approach was continued but the airplane touched down hard on the right hand main gear, which collapsed. The aircraft was shipped to Bodø August 26, 2001 and broken up.;16:08;de Havilland Canada DHC-8-103;Widerøes Flyveselskap;Thursday 14 June 2001
05-MAY-2004;BN-2B-27 Islander;XC-FOE;Consejo de Recursos Minerales;near Vallecillos;1981;Fatalities: 1 / Occupants: 1;Fatalities: 1 / Occupants: 1;Damaged beyond repair;En route (ENR);Survey/research;?;?;The aircraft flew into the side of a mountain at an altitude of about 2000 meters. The crew were carrying out a geophysical survey over the Sierra del Rosario mountain range.;null;IRMA/Pilatus Britten-Norman BN-2B-27 Islander;Consejo de Recursos Minerales;Wednesday 5 May 2004
27-jan-11;Fokker F-27 Friendship 500CRF;5X-FFD;Fly540;Nairobi-Wils...;1976;Fatalities: 0 / Occupants: 4;Fatalities: 0 / Occupants: 0;Substantial;Takeoff (TOF);Test;Nairobi-Wilson Airport (WIL/HKNW), Kenya;Nairobi-Wilson Airport (WIL/HKNW), Kenya;"A Fokker F-27 cargo plane sustained substantial damage in a runway excursion accident at Nairobi-Wilson Airport (WIL), Kenya. All four crew members sustained minor injuries.
The aircraft was conducting a post-maintenance test flight when the crew aborted the takeoff from runway 07. The aircraft overran the runway, went through the perimeter fence, collapsed the nose wheel, and ended up in a maize field.
The accident occurred during the second takeoff attempt after the first attempt was aborted.";13:35;Fokker F-27 Friendship 500CRF;Fly540;Thursday 27 January 2011
31-jan-14;MD-88;N921DL;Delta Air Lines;Atlanta-Will...;1988;Fatalities: 0 / Occupants: 5;Fatalities: 0 / Occupants: 139;Substantial;Standing (STD);Domestic Scheduled Passenger;Atlanta-William B. Hartsfield International Airport, GA (ATL/KATL), United States of America;Miami International Airport, FL (MIA/KMIA), United States of America;Before departure and while the airplane was being de-iced by ground crew personnel, the de-icing bucket struck the left side of the fuselage and dislodged a passenger window. As a result, the airplane was substantially damaged and the pressure vessel was compromised. There were no reported injuries.;08:30;McDonnell Douglas MD-88;Delta Air Lines;Friday 31 January 2014
29-apr-00;BN-2A-20 Islander;P2-ISA;North Coast Aviation;Bapi Airport...;1974-01-25  (26 years 3 months);Fatalities: 1 / Occupants: 1;Fatalities: 3 / Occupants: 3;Damaged beyond repair;Takeoff (TOF);Passenger;Bapi Airport (BPD), Papua New Guinea;?;"It is understood that the plane had failed to clear trees at the end of the airstrip. The plane crashed and burned.
Bapi has a single grassed brown clay runway (14/32) which is 495 m long and has a 1,5% slope to the northwest. Elevation of the airport is 2934 feet.";null;IRMA/Britten-Norman BN-2A-20 Islander;North Coast Aviation;Saturday 29 April 2000
23-MAR-2007;Ilyushin Il-76TD;EW-78849;Transaviaexport;near Mogadishu In...;1991;Fatalities:  / Occupants:;Fatalities:  / Occupants:;Destroyed;Initial climb (ICL);Cargo;Mogadishu International Airport (MGQ/HCMM), Somalia;Djibouti-Ambouli Airport (JIB/HDAM), Djibouti;"On March 9, 2007 a company Il-76TD (EW-78826) sustained substantial damage after being hit by a missile while on approach to Mogadishu International Airport (MGQ). Later that month Il-76TD EW-78849 flew to Mogadishu to deliver equipment to cannibalise EW-78826 and to salvage usable parts.
On March 23, EW-78849 was to be flown back to Minsk with a refueling stop at Djibouti (JIB). Shortly after takeoff three missiles were fired at the plane. Reportedly one of the missiles hit the wing. Control was lost and the airplane crashed.";ca 14:00;Ilyushin 76TD;Transaviaexport Airlines;Friday 23 March 2007
11-apr-17;Gulfstream G450;N667HS;H&S Air LLC;Salzburg-W. ...;2008;Fatalities: 0 / Occupants: 2;Fatalities: 0 / Occupants: 2;Substantial;Landing (LDG);Executive;Salzburg-W. A. Mozart Airport (SZG/LOWS), Austria;Bangor International Airport, ME (BGR/KBGR), United States of America;"The Gulfstream G450 took off from Salzburg Airport, Austria, at 10:12, bound for Bangor International Airport, Maine, USA. 
A few seconds after taking off from runway 33, the landing gear lever was selected to the Up position. About 20 seconds later, the crew discovered that the landing gear had not retracted. The landing gear remained in the Down & Locked position because the landing gear safety pins were set. The crew suspected that the safety pins were still set and decided to land back at Salzburg Airport, which was carried out on runway 15. After a flight time of about 5 minutes, the aircraft left the runway at about 10:17 on taxiway E. They were instructed by the control tower to taxi back to the parking area (apron). 
The aircraft was stopped shortly after taxiing on taxiway E, as the crew noticed an increased rolling resistance of the aircraft, whereby the crew suspected a burst tyre. The crew decided to check directly at the taxiway whether the safety pins were still on the landing gear, to remove them if necessary and to check whether a tire was defective. The control tower of Salzburg Airport was not informed about this by the pilots. The co-pilot opened the cabin door and left the aircraft to perform these checks. Meanwhile, the pilot left the cockpit to inform the passengers in the cabin of the situation.
At 10:20 and 10:22, the Salzburg Tower controller tried without success to make contact with the aircraft's crew. An aircraft passing taxiway L informed the controller about a person on the taxiway who had left the aircraft in question.
The co-pilot, who had gone to the landing gear, recognized that the safety pins were installed and tried to remove them. When this attempt failed because hydraulic pressure was applied to the landing gear cylinder and the safety pin was jammed, he operated the landing gear door control valves of the nose and main landing gear several times and installed the landing gear doors control valve pins. This closed the landing gear doors, the main cylinders of the hydraulics of the main and nose landing gear were depressurized and the safety pins could be removed. After the co-pilot removed the nose landing gear door pin, the nose landing gear doors opened and the nose landing gear folded at about 10:30. The aircraft nose lowered and hit the taxiway. 5 to 10 seconds later the engines were switched off.
No indication could be found that both the Landing Gear Failure to Retract and the Attempted Landing Gear Retraction with Safety Pins Installed Checklist were executed from the time the installed Safety Pins were detected until the time of the accident.";10:30;Gulfstream G450;H&S Air LLC;Tuesday 11 April 2017
07-MAR-2013;Boeing 757-232;N698DL;Delta Air Lines;Atlanta-Will...;1999-08-13  (13 years 7 months);Fatalities: 0 / Occupants: 6;Fatalities: 0 / Occupants: 142;Substantial;Landing (LDG);Domestic Scheduled Passenger;Santa Ana-John Wayne International Airport, CA (SNA/KSNA), United States of America;Atlanta-William B. Hartsfield International Airport, GA (ATL/KATL), United States of America;"A Boeing 757-200, registration N698DL, operated by Delta Air Lines as flight 1693 from Orange County Airport, Santa Ana, California (KSNA) to the Hartsfield Jackson International Airport, Atlanta, Georgia (KATL), experienced a tailstrike while landing on runway 28. The aircraft was substantially damaged, and there were no injuries to the 148 occupants. Weather at the time of the event was reported as winds from 340 degrees at 6 knots, clear skies and 10 miles visibility.

According to the flight crew, the preflight, departure and enroute segments of the flight were normal. The approach was flown with a Vref speed of 129 knots and 25 degrees of flap. Upon landing, the first officer called ""speedbrakes not activated"" and manually deployed the speedbrakes. The captain reported he felt the airplane ""float"" and attempted to maintain landing attitude. FDR data indicated that the airplane made an initial touchdown, followed by a brief gear squat switch deactivation, consistent with a slight bounce or light touchdown; the speedbrakes were then manually deployed. Airspeed decayed to approximately 115 knots and pitch attitude increased to about 11 degrees. The Delta 757/767 Flight Crew Training Manual specifies that contact with the runway is possible with pitch attitude greater than 10.5 degrees, with flaps 25 and airspeed of 10 knots below Vref.

The airplane rolled out and taxied to the gate uneventfully. While preparing the aircraft for the next flight the flight crew was informed by maintenance personnel of damage to the tail section of the aircraft. Aircraft inspection revealed an 8 foot scrape on the lower aft fuselage, damage to several stringers and buckling of the aft pressurization dome.";19:21;Boeing 757-232;Delta Air Lines;Thursday 7 March 2013
15-feb-14;Lockheed P-3C Orion;5049;Japanese Navy;Atsugi NAS (...;;Fatalities: 0 / Occupants: 0;Fatalities: 0 / Occupants: 0;Damaged beyond repair;Standing (STD);-;-;-;"A maintenance hangar collapse at Atsugi NAS in Japan caused damage to ten Japanese and U.S. P-3 Orion aircraft. The roof collapsed following heavy snowfall.
Reportedly lost in the occurrence were:
US Navy: 159329 (c/n 5619); 159503 (c/n 5620); 160283 (c/n 5646); 161338  (c/n 5736)
JMSDF: 5026 (c/n 9023); 5049 (c/n 9046); 9133 (c/n 9036)";05:00;Lockheed P-3C-II.5 Orion;Japan Maritime Self Defence Force - JMSDF;Saturday 15 February 2014
